index
m.s
"st,"
s.r
ss.
"md,"
"mb,"
",mm"
"rm,"
",st"
"j,"
t.u
s.n
a.n
r.g
"r,"
"a,md"
s.st
s.ag
s.t.
s.s.
f.s.
s.sn
p.s.
m.pd
s.tp
a.k.
amd.
h.s.
m.p'
p.w.
sip.
m.a.
v.v.
s.se
"aji,"
stp.
s.i.
h.d.
"a,md"
"sam,"
kms.
"s,si"
s.ab
m.p.
s.pt
g.s.
a.s.
"h,sh"
a.d.
ayu.
y.a.
d.w.
p.l.
s.a.
"d,sh"
",amd"
r.s.
amk.
apt.
"s,pd"
w.s.
nst.
r.a.
kom.
yas.
ali.
s.bg
"roy,"
p.t.
m.i.
d.h.
f.a.
k.t.
a.l.
d.k.
m.ar
skm.
"s,st"
s.ap
s.p.
bba.
"ayu,"
sh.
md.
.
","
"s,"
"j,"
"r,"
